NameOfFile Method CorCoeff PValue Species Gene Samples
Abbottina_rivularis.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.029 0.25 Abbottina_rivularis CytB 10
Abbottina_rivularis.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.061 0.095 Abbottina_rivularis CytB 10
Abramis_brama.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.287 0.046 Abramis_brama CytB 10
Abramis_brama.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.12 0.16 Abramis_brama CytB 10
Abrothrix_longipilis.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.022 0.056 Abrothrix_longipilis CytB 10
Abrothrix_longipilis.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.005 0.596 Abrothrix_longipilis CytB 10
Abrothrix_longipilis.CytB.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.006 0.33 Abrothrix_longipilis CytB 20
Abrothrix_longipilis.CytB.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.013 0.8 Abrothrix_longipilis CytB 20
Abrothrix_longipilis.CytB.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance -0.006 0.306 Abrothrix_longipilis CytB 30
Abrothrix_longipilis.CytB.terminals.nuc.fa.30.samples.mike6.txt DAndDistance 0.014 0.836 Abrothrix_longipilis CytB 30
Abrothrix_olivaceus.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.025 0.261 Abrothrix_olivaceus CytB 10
Abrothrix_olivaceus.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance 0.003 0.51 Abrothrix_olivaceus CytB 10
Acanthocybium_solandri.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.021 0.578 Acanthocybium_solandri CytB 10
Acanthocybium_solandri.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.009 0.443 Acanthocybium_solandri CytB 10
Acanthopagrus_berda.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.022 0.756 Acanthopagrus_berda CytB 10
Acanthorhodeus_chankaensis.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.002 0.576 Acanthorhodeus_chankaensis CytB 10
Acanthorhodeus_chankaensis.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.026 0.072 Acanthorhodeus_chankaensis CytB 10
Acanthosaura_lepidogaster.CytB.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.016 0.106 Acanthosaura_lepidogaster CytB 10
Acanthosaura_lepidogaster.CytB.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.004 0.35 Acanthosaura_lepidogaster CytB 10
Acanthurus_nigricans.ATP6.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance 0.125 0.776 Acanthurus_nigricans ATP6 10
Acanthurus_nigricans.ATP6.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.008 0.44 Acanthurus_nigricans ATP6 20
Acanthurus_nigricans.ATP6.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.018 0.499 Acanthurus_nigricans ATP6 20
Acanthurus_triostegus.ATP6.terminals.nuc.fa.10.samples.mike6.txt RSquareAndDistance -0.072 0.156 Acanthurus_triostegus ATP6 10
Acanthurus_triostegus.ATP6.terminals.nuc.fa.10.samples.mike6.txt DAndDistance -0.009 0.384 Acanthurus_triostegus ATP6 10
Acanthurus_triostegus.ATP6.terminals.nuc.fa.20.samples.mike6.txt RSquareAndDistance -0.046 0.206 Acanthurus_triostegus ATP6 20
Acanthurus_triostegus.ATP6.terminals.nuc.fa.20.samples.mike6.txt DAndDistance 0.027 0.761 Acanthurus_triostegus ATP6 20
Acanthurus_triostegus.ATP6.terminals.nuc.fa.30.samples.mike6.txt RSquareAndDistance -0.053 0.21 Acanthurus_triostegus ATP6 30
Acanthurus_triostegus.ATP6.terminals.nuc.fa.30.samples.mike6.txt DAndDistance 0.045 0.784 Acanthurus_triostegus ATP6 30
Acanthurus_triostegus.ATP6.terminals.nuc.fa.40.samples.mike6.txt RSquareAndDistance -0.044 0.204 Acanthurus_triostegus ATP6 40
Acanthurus_triostegus.ATP6.terminals.nuc.fa.40.samples.mike6.txt DAndDistance 0.02 0.679 Acanthurus_triostegus ATP6 40
Acanthurus_triostegus.ATP6.terminals.nuc.fa.50.samples.mike6.txt RSquareAndDistance -0.045 0.176 Acanthurus_triostegus ATP6 50
Acanthurus_triostegus.ATP6.terminals.nuc.fa.50.samples.mike6.txt DAndDistance 0.024 0.718 Acanthurus_triostegus ATP6 50
