NameOfFile	Method	CorCoeff	PValue
Abbottina_rivularis.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.033	P-value : 0.185
Abramis_brama.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.131	P-value : 0.055
Abrothrix_longipilis.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : 0.012	P-value : 0.782
Abrothrix_olivaceus.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.157	P-value : 0.002
Acanthocybium_solandri.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : 0.021	P-value : 0.552
Acanthopagrus_berda.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.011	P-value : 0.382
Acanthorhodeus_chankaensis.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.001	P-value : 0.520
Acanthosaura_lepidogaster.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.023	P-value : 0.112
Acentrogobius_janthinopterus.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.018	P-value : 0.342
Acheilognathus_macropterus.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.002	P-value : 0.459
Acheilognathus_rhombeus.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.004	P-value : 0.455
Acheilognathus_tabira.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.019	P-value : 0.148
Acipenser_gueldenstaedtii.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.041	P-value : 0.317
Acipenser_schrenckii.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : 0.064	P-value : 0.807
Acipenser_stellatus.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.349	P-value : 0.003
Acomys_cahirinus.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.006	P-value : 0.347
Acomys_dimidiatus.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.012	P-value : 0.368
Acritillas_indica.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : 0.046	P-value : 0.752
Acrocephalus_brevipennis.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.085	P-value : 0.330
Adelomyia_melanogenys.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.006	P-value : 0.335
Agkistrodon_contortrix.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : -0.015	P-value : 0.368
Agkistrodon_piscivorus.CytB.terminals.nuc.fa.mike6.10.txt	---- PEARSON CORRELATION COEFFICIENT BETWEEN LINKAGE DESEQUILIBRIUM MEASURED AS R SQUARE AND DISTANCE ----	Correlation coefficient : 0.023	P-value : 0.646
